date,sales_usd,product_description,client_name,sales_agent_name
43587,829826.209,Producto G,Quesillos S.C.,Guillermo Ochoa
43588,655680.0142,Producto G,Quesillos S.C.,Guillermo Ochoa
43591,596724.6841,Producto G,Quesillos S.C.,Guillermo Ochoa
43592,599123.5786,Producto G,Quesillos S.C.,Guillermo Ochoa
43593,325413.5112,Producto G,Quesillos S.C.,Guillermo Ochoa
43594,944862.6159,Producto G,Quesillos S.C.,Guillermo Ochoa
43595,599805.968,Producto G,Quesillos S.C.,Guillermo Ochoa
43596,162301.0925,Producto G,Quesillos S.C.,Guillermo Ochoa
43598,215098.3955,Producto G,Quesillos S.C.,Guillermo Ochoa
43599,683381.5437,Producto G,Quesillos S.C.,Guillermo Ochoa
43600,863430.23,Producto G,Quesillos S.C.,Guillermo Ochoa
43601,820240.6801,Producto G,Quesillos S.C.,Guillermo Ochoa
43602,603080.4384,Producto G,Quesillos S.C.,Guillermo Ochoa
43603,422054.2692,Producto G,Quesillos S.C.,Guillermo Ochoa
43605,129117.9248,Producto G,Quesillos S.C.,Guillermo Ochoa
43606,760455.9969,Producto G,Quesillos S.C.,Guillermo Ochoa
43607,977020.8468,Producto G,Quesillos S.C.,Guillermo Ochoa
43608,496870.7153,Producto G,Quesillos S.C.,Guillermo Ochoa
43609,992881.6888,Producto G,Quesillos S.C.,Guillermo Ochoa
43610,225446.5215,Producto G,Quesillos S.C.,Guillermo Ochoa
43612,363016.4876,Producto G,Quesillos S.C.,Guillermo Ochoa
43613,463636.8833,Producto G,Quesillos S.C.,Guillermo Ochoa
43614,566939.5951,Producto G,Quesillos S.C.,Guillermo Ochoa
43615,357051.9728,Producto G,Quesillos S.C.,Guillermo Ochoa
43616,25282.52631,Producto E,Quesillos S.C.,Guillermo Ochoa
43616,615921.9024,Producto G,Quesillos S.C.,Guillermo Ochoa
43617,673302.2611,Producto G,Quesillos S.C.,Guillermo Ochoa
43619,62589.13682,Producto E,Quesillos S.C.,Guillermo Ochoa
43619,1260923.472,Producto G,Quesillos S.C.,Guillermo Ochoa
43620,63276.47372,Producto E,Quesillos S.C.,Guillermo Ochoa
43620,417353.7689,Producto G,Quesillos S.C.,Guillermo Ochoa
43621,28091.26674,Producto E,Quesillos S.C.,Guillermo Ochoa
